# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     83     59      0      0      0      0 
    0     93     64      0      0      0      0 
    0     91     53      0      0      0      0 
    0     92     58      0      0      0      0 
    0     92     53      0      0      0      0 
    0     91     58      0      0      0      0 
    0     93     58      0      0      0      0 
    0     91     53      0      0      0      0 
    0     92     53      0      0      0      0 
    0     90     52      0      0      0      0 
    0     91     55      0      0      0      0 
    0     91     62      0      0      0      0 
    0     93     58      0      0      0      0 
    0     93     60      0      0      0      0 
    0     92     58      0      0      0      0 
    0     91     62      0      0      0      0 
    0     93     62      0      0      0      0 
    0     93     56      0      0      0      0 
    0     91     54      0      0      0      0 
    0     93     63      0      0      0      0 
    0     92     57      0      0      0      0 
    0     92     52      0      0      0      0 
    0     90     52      0      0      0      0 
    0     92     60      0      0      0      0 
    0     92     60      0      0      0      0 
    0     91     52      0      0      0      0 
    0     92     55      0      0      0      0 
    0     92     62      0      0      0      0 
    0     93     62      0      0      0      0 
    0     94     66      0      0      0      0 
    0     92     56      0      0      0      0 
    0     91     54      0      0      0      0 
    0     92     60      0      0      0      0 
    0     92     60      0      0      0      0 
    0     93     60      0      0      0      0 
    0     90     57      0      0      0      0 
    0     92     55      0      0      0      0 
    0     92     58      0      0      0      0 
    0     93     58      0      0      0      0 
    0     92     60      0      0      0      0 
    0     91     52      0      0      0      0 
    0     90     54      0      0      0      0 
    0     91     62      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     91     52      0      0      0      0 
    0     93     58      0      0      0      0 
    0     92     62      0      0      0      0 
    0     92     65      0      0      0      0 
    0     71     46      0      0      0      0 
    0     59     35      0      0      0      0 
    0     61     36      0      0      0      0 
    0     70     47      0      0      0      0 
    0     51     32      0      0      0      0 
