# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     85     59      0      0      0      0 
    0     67     42      0      0      0      0 
    0     72     42      0      0      0      0 
    0     85     56      0      0      0      0 
    0     92     60      0      0      0      0 
    0     71     44      0      0      0      0 
    0     91     62      0      0      0      0 
    0     85     49      0      0      0      0 
    0     90     54      0      0      0      0 
    0     89     60      0      0      0      0 
    0     79     49      0      0      0      0 
    0     93     59      0      0      0      0 
    0     80     53      0      0      0      0 
    0     92     60      0      0      0      0 
    0     78     47      0      0      0      0 
    0     84     50      0      0      0      0 
    0     85     61      0      0      0      0 
    0     76     43      0      0      0      0 
    0     78     49      0      0      0      0 
    0     85     58      0      0      0      0 
    0     85     55      0      0      0      0 
    0     87     59      0      0      0      0 
    0     67     37      0      0      0      0 
    0     77     50      0      0      0      0 
    0     82     49      0      0      0      0 
    0     81     50      0      0      0      0 
    0     86     51      0      0      0      0 
    0     78     47      0      0      0      0 
    0     77     46      0      0      0      0 
    0     87     54      0      0      0      0 
    0     71     41      0      0      0      0 
    0     77     46      0      0      0      0 
    0     87     62      0      0      0      0 
    0     85     57      0      0      0      0 
    0     75     43      0      0      0      0 
    0     84     51      0      0      0      0 
    0     87     51      0      0      0      0 
    0     79     46      0      0      0      0 
    0     78     51      0      0      0      0 
    0     78     52      0      0      0      0 
    0     93     58      0      0      0      0 
    0     84     48      0      0      0      0 
    0     67     39      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     82     50      0      0      0      0 
    0     91     62      0      0      0      0 
    0     80     51      0      0      0      0 
    0     72     44      0      0      0      0 
    0     74     50      0      0      0      0 
    0     59     34      0      0      0      0 
    0     64     41      0      0      0      0 
    0     45     29      0      0      0      0 
    0     47     30      0      0      0      0 
