utt,sample_id,token_match,event_match,steady_token_match,final_token_len,event_len
207,d7d00b2a-599a-aced-2a79-430a05e63a24,True,True,True,78,39
208,f41545ad-0c9e-6d17-97cf-7cdae76c2c10,True,True,True,75,37
209,b3cab6b9-8349-6f87-3955-6f3b9b034106,True,True,True,16,12
210,0b6e0553-f92b-cf20-93c3-456f12f060b6,True,True,True,28,14
211,24b2121a-daec-9048-3226-b5f9972158ef,True,True,True,7,3
212,e896130f-0b06-c3cf-9b00-c569ec54363e,True,True,True,61,36
213,669d8d90-604b-4e9f-001f-1556a151004b,True,True,True,16,10
214,5a02f4db-3b66-b579-0322-c47c54cf120c,True,True,True,65,35
215,72d1039f-0737-11eb-4143-6e029030121c,True,True,True,68,38
216,bcaef15b-8ac8-c314-d193-eb86e6b4d2ca,True,True,True,63,36
217,a06b83f7-168c-15a2-2e8b-32f6060f5212,True,True,True,56,32
218,e6032150-edb6-3dc3-82ed-bf320f74353b,True,True,True,11,6
219,81c19604-5283-c2eb-dbbd-5203ef472179,True,True,True,61,35
220,542c08be-bdcb-3274-4450-98c6c21599f2,True,True,True,67,32
221,6ab1f557-8863-07dc-0fa9-bf47f335d0ba,True,True,True,60,34
222,791db8dc-1904-7842-bc03-fd4d9e2a8b2e,True,True,True,59,33
223,13352a53-1af2-9536-1191-3e1728af1503,True,True,True,63,37
224,e8099f78-e725-1847-9779-081aa67ab108,True,True,True,58,36
225,15a19712-e296-a87c-56c1-8792fe37d1d2,True,True,True,57,32
226,fae993e9-47d9-1e19-df20-9394f7f373d9,True,True,True,58,36
227,c13667b6-5d33-d0e5-511c-4e0ebf544d57,True,True,True,21,13
228,a37ac974-96a0-070e-4600-79ced35bb1af,True,True,True,62,37
229,83b01cc7-5fcc-504f-97cb-bddaa0e93b6f,True,True,True,16,11
230,4715cbf1-6b56-bbcb-870b-c89faeb7596c,True,True,True,69,34
231,7970f925-d5b0-e0ce-f624-3debd90427ec,True,True,True,70,33
232,69786a0c-3dce-85bc-a12b-ade1d79dcea9,True,True,True,22,10
233,f6bc5001-3f87-1c53-50b2-bc52289e03bc,True,True,True,27,13
234,32b8473d-cad3-d64f-e3b0-85dd7b9d23c8,True,True,True,51,26
235,15d23a27-f1ef-ddf8-cf93-501137f8848d,True,True,True,66,42
236,a4baca82-e676-915f-e017-ff791ae25b9a,True,True,True,76,40
237,9eacfb1b-6b81-21a4-f475-440dfb94e179,True,True,True,66,35
238,5ad0f277-554b-3f09-031d-3f4bc96424bd,True,True,True,18,11
239,4200b122-5de1-10fa-85c9-1e9c7dae4737,True,True,True,38,21
240,cf7bd676-f1a5-c524-421f-0eb9385983e1,True,True,True,15,13
241,9d86862d-aa2a-fdf3-eefe-950774a72c02,True,True,True,63,33
242,6e4d183b-8fb8-ab3b-dc1f-b9623dd31bc2,True,True,True,67,38
243,bbc9116e-e3f3-a293-5b9f-a51b0c689c1a,True,True,True,29,14
244,cec9374f-dcdf-f302-c236-097c08a627c7,True,True,True,69,36
245,7f331704-53c9-6002-5b26-7880476c568c,True,True,True,63,34
246,2427d82b-728c-8ba3-a9c3-1c0d83c09b02,True,True,True,62,35
247,c4f9b35d-8002-308f-f757-3c462aa58479,True,True,True,62,38
248,65b6346c-8562-6867-8996-0b45f71304ac,True,True,True,22,13
249,3c883042-3d63-b4bb-92c6-25de9e974ee1,True,True,True,29,17
250,d5d86e90-81fb-b556-4a73-e18982be6033,True,True,True,31,15
251,412bafd8-1848-b2ce-e6cd-a56edb80cdff,True,True,True,19,12
252,2332f70d-509c-17e7-0f10-869c94ab3951,True,True,True,79,40
253,1a6034bc-7d58-8382-b4b1-2776609af190,True,True,True,18,10
254,53e791f8-835d-8fbc-9ccd-ee6a240e5733,True,True,True,71,37
255,32cbfc2d-001b-2e3f-4301-7460c948c2fb,True,True,True,66,32
256,f37d01b8-9c52-4e87-5378-1e692700e666,True,True,True,71,35
257,82b974c8-a992-3aef-1453-9ca95dd518f7,True,True,True,21,12
258,bf67b864-ca2a-5073-f812-cdeddf76afe8,True,True,True,61,38
259,745a4eeb-e4e5-1f8b-f677-bfa5765cb504,True,True,True,9,7
260,d0eb140e-0f51-58de-fa7a-8969b131592c,True,True,True,63,37
261,bc3d3591-2dbe-aa1e-55aa-755909cd4933,True,True,True,78,45
262,8a96be96-c20c-4704-45b8-174000163719,True,True,True,60,31
263,b1824186-b269-cc10-06fe-1872b29a6339,True,True,True,18,11
264,3910f844-4b1e-b338-1d23-e71eded3a422,True,True,True,63,35
265,6ad2a345-2ddb-f221-6a95-ea8f1cf86100,True,True,True,22,15
266,645f73ef-3f8a-d982-622e-8a08408b616c,True,True,True,61,32
267,ee49bba6-ad9f-6328-8d52-87700558bc9f,True,True,True,69,39
268,f194afd6-d286-251f-1cff-6ca7d5612f9e,True,True,True,73,40
269,c931c59c-7271-4a78-968a-1c32ed1537b9,True,True,True,17,12
270,1c819421-f087-6cb8-4f6c-9e37d154917d,True,True,True,12,8
271,545d2919-6153-7187-fc95-48ff62a7276c,True,True,True,63,30
272,f034ca12-bbe8-abb0-3149-473e76f0ef6f,True,True,True,65,36
273,8397e582-b3f8-1c0e-a9ee-a6fc294d0b0c,True,True,True,53,28
274,6f6212d8-0a4c-7351-b14c-5f4d2884b3af,True,True,True,76,42
275,94f8b7d3-4376-ab6b-ccb2-52e14897c2bf,True,True,True,19,10
276,223e29b5-216f-35e5-0b07-94fe02040496,True,True,True,58,36
277,cd03abf1-bc5d-d4a8-e524-563d35dabc09,True,True,True,4,3
278,21ae428e-3746-7321-84d9-8d350053c375,True,True,True,61,35
279,2f1875af-dd01-10cd-ca24-bbcb62f2e668,True,True,True,12,9
280,5c351715-ab8d-ef58-3944-cf1587126295,True,True,True,9,4
281,5c7f9dcb-ad47-ca20-7b0a-48cc8484fe32,True,True,True,39,24
282,e43c9867-ae26-3877-17a2-25b309302d86,True,True,True,18,10
283,f90c183c-c448-874d-f8e3-ee40f0da93a0,True,True,True,31,17
284,f7081780-6a45-9ad7-94c5-5597ae165ea0,True,True,True,24,12
285,2717efa0-825a-d15b-4739-7fa7de3234e3,True,True,True,15,6
286,7a8ee024-7549-7470-58f4-9a5a5d7e0bb6,True,True,True,66,34
287,8e36b09f-8d46-f625-c30e-f0a49389207b,True,True,True,50,28
288,999317b6-fda2-f4c8-30ec-acbe79bcc976,True,True,True,68,33
289,ba533222-b724-104f-7532-b1e6a031361c,True,True,True,20,11
290,04466e04-72b1-5d62-aef9-6671364ef519,True,True,True,29,19
291,cf5e3b81-d30d-af07-4836-fdb77bf52a51,True,True,True,12,7
292,abf14bef-f0ec-9daa-bc81-2b1ec6e4c375,True,True,True,68,40
293,07042c94-e2f1-b582-5c93-26096068ac57,True,True,True,18,11
294,2151c69e-a6f9-1bd0-9a42-26bd35bb9d91,True,True,True,60,31
295,b762af8a-54c1-69f1-d9e0-edb621ef6951,True,True,True,25,14
296,52373f22-b2c0-0478-c29b-f775be8fc6a9,True,True,True,20,11
297,a137ed6e-05b1-6527-f7a3-67dad6687fcf,True,True,True,63,35
298,5b02ddca-93c7-8804-a7d4-8afe706da123,True,True,True,38,20
299,7a836f75-b381-71e0-572a-0452aabf4560,True,True,True,65,34
300,0da9343a-bc61-0071-28c1-544ed83138b1,True,True,True,76,47
301,8e622739-853b-e5a3-af35-5c02b60677fa,True,True,True,78,41
302,73f3fe76-c269-eaf3-1250-7f2c7f607e42,True,True,True,62,34
303,2f14f377-4af1-2e69-c777-c8a350d8d4e2,True,True,True,20,11
304,4f1a5533-3ec6-2b95-2d6a-ef2342d22471,True,True,True,17,11
305,419045ba-4f4b-9aaa-8b2c-fb70f1d940d6,True,True,True,71,38
306,649df219-d80a-69df-9173-80f5a1769723,True,True,True,16,7
307,dcee844d-d2ca-61a9-95e3-e0802658e27a,True,True,True,39,18
308,10380ba6-f476-2705-4790-2a1b61874b8d,True,True,True,72,43
309,356989a0-ef36-2add-54b3-13124f5d7f75,True,True,True,66,33
310,7a6e8eb1-36a5-954b-f5b5-a780268d9410,True,True,True,65,33
311,365729ee-cf2c-e72e-5d7c-417b1ccbe50b,True,True,True,27,13
312,7670a8c3-64fa-bfa8-a0e9-f7c68df649af,True,True,True,44,27
313,3405803a-a941-4a56-4f7e-bf9abec6f3f3,True,True,True,70,37
314,3cec70da-e76c-d52c-d25f-671f281509c4,True,True,True,65,30
315,debb6ae1-d674-3c7a-67e9-903c806e10f5,True,True,True,71,41
316,e1d5d27c-6c0a-f940-4d7b-28a0df6c8a9d,True,True,True,74,44
317,387dda24-8236-551a-fa31-cad321d9dedf,True,True,True,64,35
318,78838f5e-a073-44a5-482b-4fbd2952f9e9,True,True,True,60,38
319,43c93d8d-48c5-a551-8281-8f606d05c612,True,True,True,67,36
320,a12276c3-59d5-c0ef-8738-5056f93ef1e8,True,True,True,73,36
321,a1a5826e-8b91-5909-20d3-870cc4d80abc,True,True,True,59,34
322,e40eb39f-04fe-387f-b7c8-9440b08e697b,True,True,True,80,36
323,9c7c7e22-a955-585a-96b2-a5a6769845d9,True,True,True,45,26
324,a1de08dd-b935-2cca-f0d0-b15d1b637092,True,True,True,32,19
325,2a67ffe6-8ffe-d881-1217-d61c45f715c7,True,True,True,14,10
326,6c1dfe23-72dc-f97c-d4b6-1cb73dccfef2,True,True,True,72,42
327,79fd88d2-ccad-7659-a163-1bcc1bd65666,True,True,True,63,34
328,c24fa9c4-93eb-8a6a-8ab4-91e8bb931c44,True,True,True,60,35
329,d7642b1b-ac38-82bc-f2d2-7ee9aab7270f,True,True,True,58,35
330,eb99e5bb-d064-e5d9-e4a2-b44aa2c4247b,True,True,True,64,35
331,4dddec48-cc3b-7766-dcf1-5f5e967e0a1b,True,True,True,54,30
332,a9882210-e046-ad56-c835-ddbd6c66efe9,True,True,True,62,29
333,bdbcd8ba-6f73-21e2-596c-e277f046002d,True,True,True,75,41
334,42d9c06f-2c15-accb-6490-0e0fb207f479,True,True,True,14,7
335,cbfae6c3-faf8-9eff-6f62-68db8d32707c,True,True,True,64,31
336,761e70f7-e12a-d104-a199-9255b8d051b3,True,True,True,62,38
337,ce6b7b7b-c2f5-6940-59e9-157347ab5c44,True,True,True,19,11
338,532a6e53-5bb6-32b8-ae6d-d8457bf62ae8,True,True,True,32,18
339,32773e53-5bbc-d88f-da94-aa1ca43f3ec6,True,True,True,58,31
340,aca9c268-80db-909a-d062-d101f6143877,True,True,True,59,28
341,e8ff357f-c61a-1725-9591-c90cd533e10f,True,True,True,23,10
342,ae6d48ab-e53d-7f09-167e-cfc2b2a21535,True,True,True,63,38
343,0c6fbb78-80a1-dc8c-161a-de15220749e3,True,True,True,81,44
344,4a336add-ed6e-c090-6f18-577fc8bc122d,True,True,True,64,34
345,1b6b48cb-aa9f-9e95-db41-5d7339ff992b,True,True,True,7,5
346,203bf31a-0db3-0cb7-861e-e8370a5e0138,True,True,True,21,13
347,efa9c664-47fc-4114-a48f-8f4b5bc0b0a9,True,True,True,17,9
348,f00ac90e-efb9-a66a-fa69-ae9ee24e4140,True,True,True,58,35
349,bc53d5b8-99a8-f66f-c005-d6a984ec8158,True,True,True,33,17
350,5e43a60f-501d-b3be-1dc3-2cdc2e8ac3d2,True,True,True,58,31
351,6c551a93-578d-69bf-cbfc-dc3d0c03b896,True,True,True,70,38
352,72fec3ac-f073-0275-669a-ef7a1488ac71,True,True,True,8,6
353,0bd8fe42-d9c0-70e5-a227-e44e5e512a27,True,True,True,58,33
354,082d72b6-9969-0033-9f66-36e9b3389f01,True,True,True,59,31
355,c7037748-0d90-c7bc-a6af-ac4975c029f5,True,True,True,67,34
356,b925e205-1da3-78c9-9a56-aa3ee356d972,True,True,True,63,36
357,af4a8e66-95b8-5bab-4c45-0ce79b4c06bd,True,True,True,34,19
358,16530273-4851-d2b3-aea4-daebfaa1dcf0,True,True,True,71,37
359,ca4228d5-7e92-f039-8d15-2a9dbbaa8c49,True,True,True,72,36
360,ed4785c8-1c50-a0be-fd34-beebf2c4cbb1,True,True,True,12,9
361,b7801a1c-1256-14f6-0373-dc2c2f672745,True,True,True,25,16
362,430cf43c-df97-a5a4-399f-66ccdb418a22,True,True,True,62,37
363,e2e6eb74-4049-cf33-5d05-7e3161663806,True,True,True,67,38
364,cb9836e1-5397-9884-b62f-6f1d6844a526,True,True,True,79,40
365,3b8877c9-577c-7786-96b6-a868fca49002,True,True,True,35,23
366,70918c03-3aea-0ddb-d1de-ab0ab2cc2348,True,True,True,61,31
367,a2e95e6e-51b0-c7fa-955a-8e55b5158c8e,True,True,True,64,35
368,f9581f58-ab64-4a6a-b049-32b720cd19f7,True,True,True,71,38
369,ad58a740-1694-5b78-30d0-27820a77a693,True,True,True,67,35
370,58c80487-388e-29ad-4313-19371152ac67,True,True,True,62,36
371,c242a089-3188-9023-d972-dd961e9cc695,True,True,True,54,30
